
English,Chinese Meanings
ATM,自動存提款機(=AutomticTellerMchie)
CEO（Chief Executive Officer）,總裁
Earth,地球
English,英語
Friday,星期五
Germany,德國
Inc.,法人組織；公司(=icorportio)
Internet,網路
Japan,日本
London,倫敦
Los Angeles,洛杉磯
New York,紐約
O object,對象；目標
PR,公共關係(=publicreltios)
Ph.D.,博士學位(=DoctorofPhilosophy)
Saturday,星期六
Thursday,星期四
To top it all off,理所當然的
W weakness,虛弱；弱點
X-ray,X光檢查用X次的每年；一年一度
a few,一些
a game of cat and mouse,貓捉老鼠遊戲
a leap of faith,放手一搏
a little,一些
a lot of,許多
abandon,拋棄；遺棄
abide,忍受；容忍
ability,本領;能力；能力；才能
able,有能力做～；能；可；會
abnormal,不正常的；反常的
aboard,在（交通工具）上；上（交通工具）在（交通工具）上；船上
abolish,廢除；廢止
aborigine,土著；原住民
abort,流產；夭折；（計畫等）失敗
abound,富足；充滿
about,在四周；到處關於；對於；在……的周圍
above,在上面；向上面；在～上方
above-average,在平均水平以上；超過平均水平
abroad,在國外；到國外
abrupt,突然的；唐突的的
abruptly,突然地；唐突地
absence,不在，缺席
absent,缺席的，不在場的
absolute,純粹的；完全的
absolutely,絕對地；絕對地，完全地
absorb,吸收；理解
abstract,抽象的；深奧的摘要，抽象派藝術作品
absurd,不合理的，荒謬的
abundance,豐富；充足
abundant,大量的；充
abuse,濫用；虐待
abusive,辱罵的；濫用
academic,學校的；學術的學者；學究
academy,學院；大學
accelerate,加快；增長
accent,口音，腔調強調，著重
accept,接受；答應
acceptable,可以接受的；令人滿意的
acceptance,接受；贊同
access,進入；入口
accessibility,易接近；
accessible,可接近的；
accessory,附件；配件
accident,事故；事故；災禍
accident-prone,容易受
accidental,偶然的；意
acclaim,歡呼；喝采
acclimatize,使適應新環
accommodate,使適應；
accommodation,適應；；食宿
accompany,陪同，伴隨的到痛苦
accomplish,完成，實現，達到
accomplishment,成就；成就；成績
accord,使一致，調解
according,相符的；和
account,帳目，帳單；認定
accountant,會計師；會計師；會計人員
accounting,會計學；結帳外的
accrue,積累；獲得
accumulate,累積；積
accumulation,積累；積
accuracy,正確；準確
accurate,準確；準確的；精確
accurately,準確地
accuse,控告；譴責
accustom,習慣（於）
ache,疼痛疼痛；感使相符
achieve,完成，實現；達到
achievement,達成；完
acknowledge,承認
acknowledgement,承認；確認；認可器
acquire,取得；獲得
acquisition,獲得，取得
acquisitive,想獲得的；
acre,英畝；英畝；地產
across,橫越，穿過；
act,扮演；做事；見效
action,行動；行動；行為
activate,使活化；使活
active,活躍的；活躍的；活潑的；93.
activity,活動；活動；行動
actor,演員；演員；行動者
actress,女演員
actual,實際的；事實上的
actually,實際上；真的配
acute,嚴重的；敏銳的
ad,成長；生長固保證；保固
ad analyze,分析
adapt,使適應，使適合；適應
adapter,改編者；轉接成
add,添加；增加
addict,使沉溺；使醉心
addiction,沉溺；成癮
addictive,成癮的；上癮貪得無厭的的
addition,加；附加
additional,另外
additionally,附加地；
address,地址
adept,能手；內行
adequate,足夠的；適潑
adhere,黏附；遵守；堅積極的持
adjust,調整；校正
adjustment,調整；校正
administrate,管理；支
administration,管理；經營；行政
administrator,管理人；行政官員
admirable,值得讚揚的；令人欽佩的的
admiration,欽佩；欣賞
admire,欽佩；欣賞
admission,承認
admit,承認；承認；准許進入
admittance,進入；入
adolescence,青春期；
adolescent,青少年的；
adopt,採取；採納；採用
adoption,採納；採用
adorn,裝飾；使生色
adult,成年人成年的；125.
advance,前進；前進；進展前進；發展先行的；預先的
advanced,在前面的；先進的；開明的
advancement,進步
advantage,優勢；優點；利益有利於；使處於優勢
adventure,冒險；冒險;冒險精神fﬁ
adversary,敵手；敵人
adverse,反面的；不利
advertise,廣告；公布
advertisement,廣告；廣告；
advertising,廣告
advice,勸告；忠告；忠告；建議
advisable,可取的；適
advise,勸告；忠告；忠告；提供意見
adviser,顧問；勸告者
advocate,提倡者；辯
affair,事件；事務
affect,影響；對……發
affection,愛；情愛宣傳場許可
affiliate,加上
afford,付得起
affordable,實惠的
afraid,害怕的；恐怕；遺憾
after,在…之後在…之後以後；之後以後的；後部的
after-tax,稅後；淨收的
afternoon,下午；午後
afterward,之後；以後
again,再；再一次
against,反對；違反
age,年齡；年齡變老；成熟
agency,經銷處；代理
agenda,待議諸事項；警戒；警報警覺的；警惕的議程
agent,代理商；仲介人；經紀人
aggression,侵略
aggressive,侵略的；；積極的
agility,敏捷；靈活
ago,在……以前
agree,同意；贊同
agreement,同意；協定
agricultural,農業的；預先
agriculture,農業
ahead,在前；向前；
aid,幫助；救助幫助；救助；幫忙
aim,目標；意圖；瞄準；目的
air-conditioner,冷氣機
aircraft,飛機；飛艇
airfare,機票票價
airline,航空；航線；航空公司
airport,機場；機場；航空站
aisle,通道；走道
alarm,警報；鬧鐘使
alarming,驚人的
album,相簿；專輯
alcoholic,酒精
alert,使警覺；使注意；機警的
alien,外僑
align,排成直線；使結盟
alike,相同的；相像的
allege,斷言；宣稱
allegedly,據傳說；據
allergy,過敏症
alley,小巷；小徑務農的
alliance,結盟；聯盟
allocate,分派；分配
allow,允許；准許；允許；容許
allowance,津貼；補貼
allure,引誘；誘惑誘惑力，魅力
almost,幾乎；差一點；幾乎；差不多
along,沿著；沿著；順著
already,已經；先前
alter,改變；修改
alternate,交替的；輪流有生命
alternative,可替代的；兩者擇一；替代的；供
although,雖然；儘管
altogether,完全；全然
aluminum,鋁
always,總是
amateur,業餘；業餘的；外行的代理人；代替者
amaze,使驚奇；使驚愕；驚奇
amazing,驚人的；了不起的
ambiguous,含糊不清
ambition,抱負；野心；雄心；抱負
ambitious,野心勃勃的
amend,修訂；修改
amendment,改正；修一次的；引起歧義的正；修正案
amid,姓氏不明的回答；答覆
among,在…中間
amount,分量；總數；總額
amplify,增強；擴大
amuse,使歡樂；使發笑
amusement,娛樂；愉悅；樂趣
analyze,分析
ancestor,祖先
ancient,古老的
angle,角；角度
animal,動物
animate,賦予生命；使向前；一起
ankle,腳踝
anniversary,週年紀念
announce,宣布；發布；宣布；通告
announcement,公告；通告；
annoy,惹惱
annual,一年一次的；每年的
annually,每年；每年
anonymous,匿名的；共計；相當於的
another,又一；再一
answer,回答；答覆
antibiotic,抗生的；抗菌的抗生素；抗菌素在…之間；被…包圍
anxiety,焦慮；掛念在…之中；
anxious,焦慮的；掛念
anxiously,焦急地
any,任一；每一任何一個；任何人
anything,無論何事
apart,分開地；有距離
apologetic,道歉的；認
apologize,道歉；謝罪
apology,道歉；陪罪
apparent,明顯的；表面的；外觀的
apparently,顯然地；表面上
appeal,呼籲；懇求；申訴
appear,出現；出現；顯露
appearance,出現；顯露；容貌
appetite,食慾；胃口
appetizer,開胃小菜
applaud,鼓掌歡迎；喝
appliance,家用電器；用具；裝置
applicant,申請人
application,申請書
apply,申請；申請；請求
apply for,申請
appoint,任命；指派
appointment,約定；預約
appraise,估計；估量
appreciate,賞識；鑑賞
appreciation,欣賞
apprehend,逮捕；
apprentice,徒弟；見習生
approach,接近；靠近；走近
appropriate,合適的；適當的；
approval,批准；認可；贊同
approve,同意；贊許
approximate,接近的；地
approximately,大致；大約
apt,易於…的；有…傾向的
architect,建築師；設計師
architecture,建築物；建築學；結構
archive,把…存檔；把…收集歸檔檔案保管處；文件；記錄采
area,區域；地區；區域
