English,Chinese Meanings,pos,word_with_pos,check_status,suggested_zh,notes,ecdict_zh,ecdict_pos
ATM,自動存提款機(=AutomticTellerMchie),n.,ATM (n.),Possible error,自動存提款機(=),English letters present in Chinese meaning,[计] 自动出纳机; 异步传输方式,
CEO（Chief Executive Officer）,總裁,phr.,CEO（Chief Executive Officer） (phr.),OK,,,,
Earth,地球,n.,Earth (n.),OK,,,"n. 地球, 泥土, 世界, 尘世\nvt. 埋入土中, 赶入洞内\nvi. 躲入洞内",
English,英語,adj.,English (adj.),OK,,,"n. 英语\na. 英文的, 英国人的",
Friday,星期五,n.,Friday (n.),OK,,,n. 星期五,
Germany,德國,n.,Germany (n.),OK,,,n. 德国,
Inc.,法人組織；公司(=icorportio),n.,Inc. (n.),Possible error,法人組織；公司(=),English letters present in Chinese meaning,abbr. (=inclosure； including； inclusive； income； incorporated)注册\n[网络] 公司；公司杂志；有限公司,
Internet,網路,n.,Internet (n.),OK,,,"[计] 因特网, 国际互连网, 网际网络, 互连网络, 广域网",
Japan,日本,n.,Japan (n.),OK,,,n. 日本\n[化] 天然漆; 大漆; 漆器,
London,倫敦,n.,London (n.),OK,,,n. 伦敦,
Los Angeles,洛杉磯,phr.,Los Angeles (phr.),OK,,,洛杉矶,
New York,紐約,phr.,New York (phr.),OK,,,纽约,
O object,對象；目標,phr.,O object (phr.),OK,,,,
PR,公共關係(=publicreltios),n.,PR (n.),Possible error,公共關係(=),English letters present in Chinese meaning,"与公众的关系, 公关\n[计] 模式识别, 实际记录, 前缀, 程序寄存器",
Ph.D.,博士學位(=DoctorofPhilosophy),n.,Ph.D. (n.),Possible error,博士學位(=),English letters present in Chinese meaning,哲学博士,
Saturday,星期六,n.,Saturday (n.),OK,,,n. 星期六,
Thursday,星期四,n.,Thursday (n.),OK,,,n. 星期四,
To top it all off,理所當然的,phr.,To top it all off (phr.),OK,,,,
W weakness,虛弱；弱點,phr.,W weakness (phr.),OK,,,,
X-ray,X光檢查用X次的每年；一年一度,phr.,X-ray (phr.),Possible error,光檢查用次的每年；一年一度,English letters present in Chinese meaning,"a. X射线的\nvt. 用X光检查, 照X光\nvi. 使用X光",
a few,一些,phr.,a few (phr.),OK,,,"几个, 少数, 一些",
a game of cat and mouse,貓捉老鼠遊戲,phr.,a game of cat and mouse (phr.),OK,,,,
a leap of faith,放手一搏,phr.,a leap of faith (phr.),OK,,,,
a little,一些,phr.,a little (phr.),OK,,,"一些, 一点点, 一点儿, 稍微, 些许",
a lot of,許多,phr.,a lot of (phr.),OK,,,许多的,
abandon,拋棄；遺棄,n.,abandon (n.),OK,,,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵\nn. 放任, 无拘束, 狂热",
abide,忍受；容忍,n.,abide (n.),OK,,,"vi. 停留, 遵守, 居留, 继续下去\nvt. 忍受, 经受, 屈从于",
ability,本領;能力；能力；才能,n.,ability (n.),OK,,,"n. 能力, 才干\n[经] 能力, 才能",
able,有能力做～；能；可；會,adj.,able (adj.),OK,,,"a. 能干的, 能够的",
abnormal,不正常的；反常的,adj.,abnormal (adj.),OK,,,"a. 反常的, 不规则的, 变态的, 畸形的\nn. 畸形的人",
aboard,在（交通工具）上；上（交通工具）在（交通工具）上；船上,n.,aboard (n.),OK,,,"adv. 在船上, 在火车上, 在飞机上\nprep. 在...之上",
abolish,廢除；廢止,adj.,abolish (adj.),OK,,,"vt. 废止, 革除, 消灭\n[经] 废除, 取消, 裁撤",
aborigine,土著；原住民,n.,aborigine (n.),OK,,,"n. 土著, 土著居民, 土人",
abort,流產；夭折；（計畫等）失敗,n.,abort (n.),OK,,,"vi. 流产, 中途失败\nvt. 使流产, 使失败, 使中止",
abound,富足；充滿,n.,abound (n.),OK,,,"vi. 大量存在, 富于, 充满",
about,在四周；到處關於；對於；在……的周圍,n.,about (n.),OK,,,"prep. 在...周围, 大约, 有关, 关于\nadv. 大约, 四处, 在附近, 周围",
above,在上面；向上面；在～上方,n.,above (n.),OK,,,"prep. 在上方, 超出\nadv. 在上面\na. 上述的, 上面的",
above-average,在平均水平以上；超過平均水平,phr.,above-average (phr.),OK,,,平均以上；在一般水准以上,
abroad,在國外；到國外,n.,abroad (n.),OK,,,"adv. 往国外, 到室外, 到处\na. 往国外的, 在室外的, 广泛四散的",
abrupt,突然的；唐突的的,adj.,abrupt (adj.),OK,,,"a. 突然的, 唐突的, 陡峭的, 不连贯的",
abruptly,突然地；唐突地,adv.,abruptly (adv.),OK,,,"adv. 突然地, 唐突地",
absence,不在，缺席,n.,absence (n.),OK,,,"n. 缺席, 缺乏, 没有\n[医] 失神",
absent,缺席的，不在場的,adj.,absent (adj.),OK,,,"a. 缺席的, 不在的, 缺乏的, 漫不经心的\nvt. 使缺席",
absolute,純粹的；完全的,adj.,absolute (adj.),OK,,,"a. 绝对的, 专制的, 完全的, 独立的\nn. 绝对事物",
absolutely,絕對地；絕對地，完全地,adv.,absolutely (adv.),OK,,,"adv. 完全地, 绝对地, 确确实实地",
absorb,吸收；理解,n.,absorb (n.),OK,,,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担\n[医] 吸收",
