
English,Chinese Meanings,pos,word_with_pos,check_status,suggested_zh,notes
ATM,自動存提款機(=AutomticTellerMchie),n.,ATM (n.),Possible error,自動存提款機(=),English letters present in Chinese meaning
CEO（Chief Executive Officer）,總裁,phr.,CEO（Chief Executive Officer） (phr.),OK,,
Earth,地球,n.,Earth (n.),OK,,
English,英語,adj.,English (adj.),OK,,
Friday,星期五,n.,Friday (n.),OK,,
Germany,德國,n.,Germany (n.),OK,,
Inc.,法人組織；公司(=icorportio),n.,Inc. (n.),Possible error,法人組織；公司(=),English letters present in Chinese meaning
Internet,網路,n.,Internet (n.),OK,,
Japan,日本,n.,Japan (n.),OK,,
London,倫敦,n.,London (n.),OK,,
Los Angeles,洛杉磯,phr.,Los Angeles (phr.),OK,,
New York,紐約,phr.,New York (phr.),OK,,
O object,對象；目標,phr.,O object (phr.),OK,,
PR,公共關係(=publicreltios),n.,PR (n.),Possible error,公共關係(=),English letters present in Chinese meaning
Ph.D.,博士學位(=DoctorofPhilosophy),n.,Ph.D. (n.),Possible error,博士學位(=),English letters present in Chinese meaning
Saturday,星期六,n.,Saturday (n.),OK,,
Thursday,星期四,n.,Thursday (n.),OK,,
To top it all off,理所當然的,phr.,To top it all off (phr.),OK,,
W weakness,虛弱；弱點,phr.,W weakness (phr.),OK,,
X-ray,X光檢查用X次的每年；一年一度,phr.,X-ray (phr.),Possible error,光檢查用次的每年；一年一度,English letters present in Chinese meaning
a few,一些,phr.,a few (phr.),OK,,
a game of cat and mouse,貓捉老鼠遊戲,phr.,a game of cat and mouse (phr.),OK,,
a leap of faith,放手一搏,phr.,a leap of faith (phr.),OK,,
a little,一些,phr.,a little (phr.),OK,,
a lot of,許多,phr.,a lot of (phr.),OK,,
abandon,拋棄；遺棄,n.,abandon (n.),OK,,
abide,忍受；容忍,n.,abide (n.),OK,,
ability,本領;能力；能力；才能,n.,ability (n.),OK,,
able,有能力做～；能；可；會,adj.,able (adj.),OK,,
abnormal,不正常的；反常的,adj.,abnormal (adj.),OK,,
aboard,在（交通工具）上；上（交通工具）在（交通工具）上；船上,n.,aboard (n.),OK,,
abolish,廢除；廢止,adj.,abolish (adj.),OK,,
aborigine,土著；原住民,n.,aborigine (n.),OK,,
abort,流產；夭折；（計畫等）失敗,n.,abort (n.),OK,,
abound,富足；充滿,n.,abound (n.),OK,,
about,在四周；到處關於；對於；在……的周圍,n.,about (n.),OK,,
above,在上面；向上面；在～上方,n.,above (n.),OK,,
above-average,在平均水平以上；超過平均水平,phr.,above-average (phr.),OK,,
abroad,在國外；到國外,n.,abroad (n.),OK,,
abrupt,突然的；唐突的的,adj.,abrupt (adj.),OK,,
abruptly,突然地；唐突地,adv.,abruptly (adv.),OK,,
absence,不在，缺席,n.,absence (n.),OK,,
absent,缺席的，不在場的,adj.,absent (adj.),OK,,
absolute,純粹的；完全的,adj.,absolute (adj.),OK,,
absolutely,絕對地；絕對地，完全地,adv.,absolutely (adv.),OK,,
absorb,吸收；理解,n.,absorb (n.),OK,,
abstract,抽象的；深奧的摘要，抽象派藝術作品,adj.,abstract (adj.),OK,,
absurd,不合理的，荒謬的,adj.,absurd (adj.),OK,,
abundance,豐富；充足,n.,abundance (n.),OK,,
abundant,大量的；充,adj.,abundant (adj.),OK,,
abuse,濫用；虐待,n.,abuse (n.),OK,,
abusive,辱罵的；濫用,adj.,abusive (adj.),OK,,
academic,學校的；學術的學者；學究,adj.,academic (adj.),OK,,
academy,學院；大學,n.,academy (n.),OK,,
accelerate,加快；增長,v.,accelerate (v.),OK,,
accent,口音，腔調強調，著重,n.,accent (n.),OK,,
accept,接受；答應,n.,accept (n.),OK,,
acceptable,可以接受的；令人滿意的,adj.,acceptable (adj.),OK,,
acceptance,接受；贊同,n.,acceptance (n.),OK,,
access,進入；入口,n.,access (n.),OK,,
accessibility,易接近；,n.,accessibility (n.),OK,,
accessible,可接近的；,adj.,accessible (adj.),OK,,
accessory,附件；配件,n.,accessory (n.),OK,,
accident,事故；事故；災禍,n.,accident (n.),OK,,
accident-prone,容易受,phr.,accident-prone (phr.),OK,,
accidental,偶然的；意,adj.,accidental (adj.),OK,,
acclaim,歡呼；喝采,n.,acclaim (n.),OK,,
acclimatize,使適應新環,v.,acclimatize (v.),OK,,
accommodate,使適應；,v.,accommodate (v.),OK,,
accommodation,適應；；食宿,n.,accommodation (n.),OK,,
accompany,陪同，伴隨的到痛苦,n.,accompany (n.),OK,,
accomplish,完成，實現，達到,adj.,accomplish (adj.),OK,,
accomplishment,成就；成就；成績,n.,accomplishment (n.),OK,,
accord,使一致，調解,n.,accord (n.),OK,,
according,相符的；和,adj.,according (adj.),OK,,
account,帳目，帳單；認定,n.,account (n.),OK,,
accountant,會計師；會計師；會計人員,n.,accountant (n.),OK,,
accounting,會計學；結帳外的,adj.,accounting (adj.),OK,,
accrue,積累；獲得,n.,accrue (n.),OK,,
accumulate,累積；積,v.,accumulate (v.),OK,,
accumulation,積累；積,n.,accumulation (n.),OK,,
